ID_NUM,IND_ACCDA,IND_ACCIV,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,FECHA_ACCIDENTE,HORA_ACCIDENTE,MES_1F,ANYO,CCAA_1F,PROVINCIA_1F,COD_MUNICIPIO,CARRETERA,KM,SENTIDO_1F,TIPO_VIA_3F,TITULARIDAD_VIA_2F,TIPO_ANIMAL_1F,TIPO_ANIMAL_2F
202444266228,1,0,0,0,0,22/2/2024,19:20,2,2024,2,44,00000,A-1511,"22,343",1,2,2,5,1
202444266229,1,0,0,0,0,16/4/2024,7:00,4,2024,2,44,00000,A-1511,"27,311",1,2,2,5,1
202444266230,1,0,0,0,0,21/7/2024,1:30,7,2024,2,44,00000,A-1511,"28,753",2,2,2,3,1
202444266231,0,1,0,1,0,20/10/2024,11:50,10,2024,2,44,00000,A-2515,"30,2",2,2,2,3,1
202444266232,1,0,0,0,0,29/11/2024,18:15,11,2024,2,44,00000,A-2709,"3,5",2,2,2,3,1
202444266233,1,0,0,0,0,7/3/2024,22:10,3,2024,2,44,00000,A-1509,"3,05",1,2,2,8,1
202444266234,1,0,0,0,0,30/3/2024,10:25,3,2024,2,44,00000,A-1509,8,1,2,2,5,1
202444266235,1,0,0,0,0,12/4/2024,7:00,4,2024,2,44,00000,A-1509,"2,7",1,2,2,8,1
202444266236,1,0,0,0,0,23/6/2024,3:12,6,2024,2,44,00000,A-1509,"2,5",1,2,2,5,1
202444266237,1,0,0,0,0,25/8/2024,6:15,8,2024,2,44,00000,A-1509,"10,5",2,2,2,5,1
202444266238,1,0,0,0,0,21/9/2024,14:05,9,2024,2,44,00000,A-1509,"3,2",1,2,2,25,2
202444266239,1,0,0,0,0,8/11/2024,10:50,11,2024,2,44,00000,A-1509,"2,3",1,2,2,5,1
202444266240,1,0,0,0,0,21/3/2024,23:30,3,2024,2,44,00000,A-2511,"2,5",1,2,2,5,1
202444266241,1,0,0,0,0,30/3/2024,0:55,3,2024,2,44,00000,N-234,"204,7",2,2,1,5,1
202444266242,1,0,0,0,0,29/4/2024,6:45,4,2024,2,44,00000,N-234,"211,75",1,2,1,5,1
